0x #of reinitializations, #particle, #step,loop time, average time, trms, reset_time
1x max_reinit, nparticle, nstep, blocks, threads, full_exe_elapsed, reset_time_sum, reset_time_sum/max_reinit
1 1 2000 200 16 512 25.49 23.66 23.66
1 1 2000 200 32 1 10.65 8.9 8.9
1 1 2000 200 32 16 6.46 4.63 4.63
1 1 2000 200 32 64 6.32 4.51 4.51
1 1 2000 200 32 128 10.36 8.52 8.52
1 1 2000 200 32 256 20.43 18.52 18.52
1 1 2000 200 32 512 48.83 46.9 46.9
1 1 2000 200 64 1 10.89 8.97 8.97
1 1 2000 200 64 16 6.52 4.74 4.74
1 1 2000 200 64 64 10.39 8.65 8.65
1 1 2000 200 64 128 18.53 16.66 16.66
1 1 2000 200 64 256 38.52 36.69 36.69
1 1 2000 200 64 512 95.34 93.42 93.42
1 1 2000 200 128 1 10.75 9.01 9.01
1 1 2000 200 128 16 6.78 4.95 4.95
1 1 2000 200 128 64 18.83 16.93 16.93
1 1 2000 200 128 128 34.72 32.92 32.92
1 1 2000 200 128 256 74.79 72.97 72.97
1 1 2000 200 128 512 188.29 186.42 186.42
1 1 1500 200 1 1 12.81 10.95 10.95
1 1 1500 200 1 16 5.76 3.8 3.8
1 1 1500 200 1 64 5.42 3.51 3.51
1 1 1500 200 1 128 5.27 3.45 3.45
1 1 1500 200 1 256 5.53 3.8 3.8
1 1 1500 200 1 512 6.48 4.77 4.77
1 1 1500 200 4 1 9.81 7.94 7.94
1 1 1500 200 4 16 5.4 3.59 3.59
1 1 1500 200 4 64 5.25 3.43 3.43
1 1 1500 200 4 128 5.23 3.4 3.4
1 1 1500 200 4 256 6.65 4.86 4.86
1 1 1500 200 4 512 7.98 6.21 6.21
1 1 1500 200 16 1 8.63 6.9 6.9
1 1 1500 200 16 16 5.33 3.58 3.58
1 1 1500 200 16 64 6.38 4.46 4.46
1 1 1500 200 16 128 6.31 4.42 4.42
1 1 1500 200 16 256 11.32 9.45 9.45
1 1 1500 200 16 512 25.45 23.64 23.64
1 1 1500 200 32 1 8.51 6.76 6.76
1 1 1500 200 32 16 5.51 3.6 3.6
1 1 1500 200 32 64 6.28 4.51 4.51
1 1 1500 200 32 128 10.3 8.49 8.49
1 1 1500 200 32 256 20.29 18.53 18.53
1 1 1500 200 32 512 48.62 46.89 46.89
1 1 1500 200 64 1 8.63 6.85 6.85
1 1 1500 200 64 16 6.5 4.74 4.74
1 1 1500 200 64 64 10.38 8.64 8.64
1 1 1500 200 64 128 18.38 16.58 16.58
1 1 1500 200 64 256 38.49 36.67 36.67
1 1 1500 200 64 512 95.16 93.39 93.39
1 1 1500 200 128 1 8.71 6.91 6.91
1 1 1500 200 128 16 6.77 4.95 4.95
1 1 1500 200 128 64 18.74 16.91 16.91
1 1 1500 200 128 128 34.63 32.8 32.8
1 1 1500 200 128 256 74.88 73.01 73.01
1 1 1500 200 128 512 188.27 186.39 186.39
1 1 1400 200 1 1 12.19 10.26 10.26
1 1 1400 200 1 16 5.38 3.59 3.59
1 1 1400 200 1 64 5.04 3.25 3.25
1 1 1400 200 1 128 5.07 3.19 3.19
1 1 1400 200 1 256 5.53 3.73 3.73
1 1 1400 200 1 512 6.27 4.56 4.56
1 1 1400 200 4 1 9.24 7.45 7.45
1 1 1400 200 4 16 5.27 3.33 3.33
1 1 1400 200 4 64 5.24 3.42 3.42
1 1 1400 200 4 128 5.17 3.4 3.4
1 1 1400 200 4 256 6.8 4.87 4.87
1 1 1400 200 4 512 8.03 6.2 6.2
1 1 1400 200 16 1 8.31 6.49 6.49
1 1 1400 200 16 16 5.34 3.55 3.55
1 1 1400 200 16 64 6.26 4.46 4.46
1 1 1400 200 16 128 6.17 4.43 4.43
1 1 1400 200 16 256 11.27 9.44 9.44
1 1 1400 200 16 512 25.44 23.64 23.64
1 1 1400 200 32 1 8.15 6.34 6.34
1 1 1400 200 32 16 5.53 3.61 3.61
1 1 1400 200 32 64 6.38 4.51 4.51
1 1 1400 200 32 128 10.33 8.47 8.47
1 1 1400 200 32 256 20.27 18.51 18.51
1 1 1400 200 32 512 48.69 46.89 46.89
1 1 1400 200 64 1 8.05 6.32 6.32
1 1 1400 200 64 16 6.53 4.74 4.74
1 1 1400 200 64 64 10.43 8.65 8.65
1 1 1400 200 64 128 18.37 16.58 16.58
1 1 1400 200 64 256 38.47 36.67 36.67
1 1 1400 200 64 512 95.17 93.39 93.39
1 1 1400 200 128 1 8.17 6.38 6.38
1 1 1400 200 128 16 6.81 4.96 4.96
1 1 1400 200 128 64 18.73 16.9 16.9
1 1 1400 200 128 128 34.7 32.78 32.78
1 1 1400 200 128 256 74.85 73.04 73.04
1 1 1400 200 128 512 188.19 186.39 186.39
1 1 1300 200 1 1 11.42 9.55 9.55
1 1 1300 200 1 16 5.13 3.36 3.36
1 1 1300 200 1 64 4.91 3.12 3.12
1 1 1300 200 1 128 4.9 3.19 3.19
1 1 1300 200 1 256 5.44 3.72 3.72
1 1 1300 200 1 512 6.3 4.55 4.55
1 1 1300 200 4 1 8.77 6.94 6.94
1 1 1300 200 4 16 5.03 3.2 3.2
1 1 1300 200 4 64 5.23 3.43 3.43
1 1 1300 200 4 128 5.31 3.41 3.41
1 1 1300 200 4 256 6.69 4.86 4.86
1 1 1300 200 4 512 8 6.21 6.21
1 1 1300 200 16 1 7.85 6.07 6.07
1 1 1300 200 16 16 5.34 3.55 3.55
1 1 1300 200 16 64 6.31 4.46 4.46
1 1 1300 200 16 128 6.23 4.45 4.45
1 1 1300 200 16 256 11.25 9.45 9.45
1 1 1300 200 16 512 25.45 23.65 23.65
1 1 1300 200 32 1 7.91 5.95 5.95
1 1 1300 200 32 16 5.51 3.62 3.62
1 1 1300 200 32 64 6.36 4.52 4.52
1 1 1300 200 32 128 10.26 8.49 8.49
1 1 1300 200 32 256 20.39 18.53 18.53
1 1 1300 200 32 512 48.69 46.88 46.88
1 1 1300 200 64 1 7.84 6.05 6.05
1 1 1300 200 64 16 6.58 4.74 4.74
1 1 1300 200 64 64 10.47 8.66 8.66
1 1 1300 200 64 128 18.45 16.59 16.59
1 1 1300 200 64 256 38.48 36.67 36.67
1 1 1300 200 64 512 95.18 93.41 93.41
1 1 1300 200 128 1 8.18 6.36 6.36
1 1 1300 200 128 16 6.75 4.96 4.96
1 1 1300 200 128 64 18.74 16.91 16.91
1 1 1300 200 128 128 34.6 32.8 32.8
1 1 1300 200 128 256 74.66 72.91 72.91
1 1 1300 200 128 512 188.15 186.42 186.42
1 1 1200 200 1 1 10.64 8.8 8.8
1 1 1200 200 1 16 4.92 3.1 3.1
1 1 1200 200 1 64 4.74 2.86 2.86
1 1 1200 200 1 128 4.73 2.94 2.94
1 1 1200 200 1 256 5.04 3.21 3.21
1 1 1200 200 1 512 6.18 4.41 4.41
1 1 1200 200 4 1 8.23 6.4 6.4
1 1 1200 200 4 16 4.83 2.92 2.92
1 1 1200 200 4 64 4.83 2.92 2.92
1 1 1200 200 4 128 5.09 3.38 3.38
1 1 1200 200 4 256 6.66 4.84 4.84
1 1 1200 200 4 512 8.02 6.21 6.21
1 1 1200 200 16 1 7.35 5.6 5.6
1 1 1200 200 16 16 4.84 3.03 3.03
1 1 1200 200 16 64 6.32 4.48 4.48
1 1 1200 200 16 128 6.32 4.43 4.43
1 1 1200 200 16 256 11.27 9.44 9.44
1 1 1200 200 16 512 25.52 23.65 23.65
1 1 1200 200 32 1 7.27 5.53 5.53
1 1 1200 200 32 16 5.4 3.6 3.6
1 1 1200 200 32 64 6.33 4.52 4.52
1 1 1200 200 32 128 10.28 8.48 8.48
1 1 1200 200 32 256 20.34 18.53 18.53
1 1 1200 200 32 512 48.72 46.91 46.91
1 1 1200 200 64 1 7.34 5.51 5.51
1 1 1200 200 64 16 6.5 4.74 4.74
1 1 1200 200 64 64 10.48 8.65 8.65
1 1 1200 200 64 128 18.44 16.59 16.59
1 1 1200 200 64 256 38.54 36.71 36.71
1 1 1200 200 64 512 95.17 93.42 93.42
1 1 1200 200 128 1 7.69 5.86 5.86
1 1 1200 200 128 16 6.76 4.96 4.96
1 1 1200 200 128 64 18.81 16.93 16.93
1 1 1200 200 128 128 34.69 32.8 32.8
1 1 1200 200 128 256 74.86 73.09 73.09
1 1 1200 200 128 512 188.23 186.42 186.42
1 1 1100 200 1 1 9.93 8.14 8.14
1 1 1100 200 1 16 4.69 2.9 2.9
1 1 1100 200 1 64 4.42 2.72 2.72
1 1 1100 200 1 128 4.49 2.69 2.69
1 1 1100 200 1 256 5.04 3.19 3.19
1 1 1100 200 1 512 6.11 4.31 4.31
1 1 1100 200 4 1 7.73 5.92 5.92
1 1 1100 200 4 16 4.61 2.8 2.8
1 1 1100 200 4 64 4.61 2.93 2.93
1 1 1100 200 4 128 5.19 3.4 3.4
1 1 1100 200 4 256 6.4 4.65 4.65
1 1 1100 200 4 512 8.08 6.2 6.2
1 1 1100 200 16 1 6.99 5.16 5.16
1 1 1100 200 16 16 4.84 3.03 3.03
1 1 1100 200 16 64 6.22 4.45 4.45
1 1 1100 200 16 128 6.24 4.45 4.45
1 1 1100 200 16 256 11.28 9.45 9.45
1 1 1100 200 16 512 25.47 23.63 23.63
1 1 1100 200 32 1 7.01 5.13 5.13
1 1 1100 200 32 16 5.4 3.6 3.6
1 1 1100 200 32 64 6.25 4.51 4.51
1 1 1100 200 32 128 10.31 8.5 8.5
1 1 1100 200 32 256 20.36 18.52 18.52
1 1 1100 200 32 512 48.64 46.91 46.91
1 1 1100 200 64 1 7.19 5.26 5.26
1 1 1100 200 64 16 6.58 4.75 4.75
1 1 1100 200 64 64 10.54 8.66 8.66
1 1 1100 200 64 128 18.49 16.61 16.61
1 1 1100 200 64 256 38.47 36.65 36.65
1 1 1100 200 64 512 95.25 93.4 93.4
1 1 1100 200 128 1 7.18 5.32 5.32
1 1 1100 200 128 16 6.72 4.95 4.95
1 1 1100 200 128 64 18.64 16.91 16.91
1 1 1100 200 128 128 34.65 32.85 32.85
1 1 1100 200 128 256 74.67 72.88 72.88
1 1 1100 200 128 512 188.24 186.43 186.43
1 1 1000 200 1 1 9.33 7.45 7.45
1 1 1000 200 1 16 4.57 2.67 2.67
1 1 1000 200 1 64 4.35 2.46 2.46
1 1 1000 200 1 128 4.29 2.43 2.43
1 1 1000 200 1 256 4.57 2.67 2.67
1 1 1000 200 1 512 5.06 3.3 3.3
1 1 1000 200 4 1 7.22 5.43 5.43
1 1 1000 200 4 16 4.4 2.53 2.53
1 1 1000 200 4 64 4.32 2.43 2.43
1 1 1000 200 4 128 4.25 2.42 2.42
1 1 1000 200 4 256 4.48 2.65 2.65
1 1 1000 200 4 512 8.04 6.22 6.22
1 1 1000 200 16 1 6.57 4.77 4.77
1 1 1000 200 16 16 4.35 2.51 2.51
1 1 1000 200 16 64 4.28 2.45 2.45
1 1 1000 200 16 128 6.23 4.45 4.45
1 1 1000 200 16 256 11.27 9.42 9.42
1 1 1000 200 16 512 25.45 23.64 23.64
1 1 1000 200 32 1 6.45 4.74 4.74
1 1 1000 200 32 16 4.43 2.57 2.57
1 1 1000 200 32 64 6.38 4.51 4.51
1 1 1000 200 32 128 10.36 8.51 8.51
1 1 1000 200 32 256 20.28 18.49 18.49
1 1 1000 200 32 512 48.82 46.9 46.9
1 1 1000 200 64 1 6.58 4.72 4.72
1 1 1000 200 64 16 4.53 2.67 2.67
1 1 1000 200 64 64 10.59 8.64 8.64
1 1 1000 200 64 128 18.5 16.67 16.67
1 1 1000 200 64 256 38.53 36.64 36.64
1 1 1000 200 64 512 95.29 93.42 93.42
1 1 1000 200 128 1 6.61 4.79 4.79
1 1 1000 200 128 16 6.7 4.95 4.95
1 1 1000 200 128 64 18.75 16.92 16.92
1 1 1000 200 128 128 34.82 32.92 32.92
1 1 1000 200 128 256 74.84 72.99 72.99
1 1 1000 200 128 512 188.32 186.43 186.43
1 1 900 200 1 1 8.5 6.7 6.7
1 1 900 200 1 16 4.12 2.46 2.46
1 1 900 200 1 64 4.09 2.34 2.34
1 1 900 200 1 128 4.21 2.42 2.42
1 1 900 200 1 256 4.48 2.61 2.61
1 1 900 200 1 512 5.12 3.27 3.27
1 1 900 200 4 1 6.76 4.92 4.92
1 1 900 200 4 16 4.29 2.37 2.37
1 1 900 200 4 64 4.23 2.42 2.42
1 1 900 200 4 128 4.26 2.38 2.38
1 1 900 200 4 256 4.43 2.66 2.66
1 1 900 200 4 512 8.01 6.2 6.2
1 1 900 200 16 1 6.22 4.34 4.34
1 1 900 200 16 16 4.45 2.52 2.52
1 1 900 200 16 64 4.29 2.47 2.47
1 1 900 200 16 128 6.26 4.45 4.45
1 1 900 200 16 256 11.27 9.44 9.44
1 1 900 200 16 512 25.46 23.64 23.64
1 1 900 200 32 1 6.11 4.33 4.33
