0x #of reinitializations, #particle, #step,loop time, average time, trms, reset_time
1x max_reinit, nparticle, nstep, blocks, threads, full_exe_elapsed, reset_time_sum, reset_time_sum/max_reinit
1 1 4 100 16 512 19.08 17.49 17.49 0
1 1 4 100 32 1 2.23 0.49 0.49 0
1 1 4 100 32 16 3.28 1.52 1.52 0
1 1 4 100 32 64 6.45 4.71 4.71 0
1 1 4 100 32 128 10.71 9.01 9.01 0
1 1 4 100 32 256 19.33 17.57 17.57 0
1 1 4 100 32 512 36.42 34.75 34.75 0
1 1 4 100 64 1 2.37 0.67 0.67 0
1 1 4 100 64 16 4.39 2.63 2.63 0
1 1 4 100 64 64 10.84 9.06 9.06 0
1 1 4 100 64 128 19.53 17.69 17.69 0
1 1 4 100 64 256 36.5 34.79 34.79 0
1 1 4 100 64 512 70.85 69.12 69.12 0
1 1 4 100 128 1 2.78 0.98 0.98 0
1 1 4 100 128 16 6.75 5 5 0
1 1 4 100 128 64 19.55 17.84 17.84 0
1 1 4 100 128 128 36.79 35.02 35.02 0
1 1 4 100 128 256 71.11 69.29 69.29 0
1 1 4 100 128 512 139.53 137.87 137.87 0
1 1 128 100 1 1 2.77 1.05 1.05 0
1 1 128 100 1 16 2.48 0.65 0.65 0
1 1 128 100 1 64 2.41 0.63 0.63 0
1 1 128 100 1 128 2.44 0.62 0.62 0
1 1 128 100 1 256 2.6 0.87 0.87 0
1 1 128 100 1 512 3.12 1.38 1.38 0
1 1 128 100 4 1 2.28 0.84 0.84 0
1 1 128 100 4 16 2.19 0.63 0.63 0
1 1 128 100 4 64 2.7 0.9 0.9 0
1 1 128 100 4 128 3.21 1.44 1.44 0
1 1 128 100 4 256 4.32 2.52 2.52 0
1 1 128 100 4 512 6.51 4.7 4.7 0
1 1 128 100 16 1 2.29 0.78 0.78 0
1 1 128 100 16 16 2.59 0.85 0.85 0
1 1 128 100 16 64 4.16 2.52 2.52 0
1 1 128 100 16 128 6.21 4.71 4.71 0
1 1 128 100 16 256 10.88 9.04 9.04 0
1 1 128 100 16 512 19.4 17.69 17.69 0
1 1 128 100 32 1 2.66 0.84 0.84 0
1 1 128 100 32 16 3.32 1.51 1.51 0
1 1 128 100 32 64 6.63 4.78 4.78 0
1 1 128 100 32 128 10.81 9.14 9.14 0
1 1 128 100 32 256 19.14 17.72 17.72 0
1 1 128 100 32 512 36.71 35.02 35.02 0
1 1 128 100 64 1 2.53 0.88 0.88 0
1 1 128 100 64 16 4.53 2.67 2.67 0
1 1 128 100 64 64 10.89 9.21 9.21 0
1 1 128 100 64 128 19.74 17.91 17.91 0
1 1 128 100 64 256 36.96 35.2 35.2 0
1 1 128 100 64 512 71.55 69.75 69.75 0
1 1 128 100 128 1 2.56 0.91 0.91 0
1 1 128 100 128 16 6.46 5.01 5.01 0
1 1 128 100 128 64 19.82 18.08 18.08 0
1 1 128 100 128 128 37.14 35.45 35.45 0
1 1 128 100 128 256 71.86 70.07 70.07 0
1 1 128 100 128 512 141.09 139.2 139.2 0
1 1 256 100 1 1 3.49 1.75 1.75 0
1 1 256 100 1 16 2.65 0.94 0.94 0
1 1 256 100 1 64 2.66 0.91 0.91 0
1 1 256 100 1 128 2.66 0.9 0.9 0
1 1 256 100 1 256 2.77 0.99 0.99 0
1 1 256 100 1 512 3.43 1.62 1.62 0
1 1 256 100 4 1 3.18 1.37 1.37 0
1 1 256 100 4 16 2.7 0.91 0.91 0
1 1 256 100 4 64 2.63 0.86 0.86 0
1 1 256 100 4 128 3.16 1.44 1.44 0
1 1 256 100 4 256 4.51 2.82 2.82 0
1 1 256 100 4 512 7.03 5.35 5.35 0
1 1 256 100 16 1 2.97 1.27 1.27 0
1 1 256 100 16 16 2.74 0.93 0.93 0
1 1 256 100 16 64 4.21 2.55 2.55 0
1 1 256 100 16 128 6.5 4.73 4.73 0
1 1 256 100 16 256 11.86 10.3 10.3 0
1 1 256 100 16 512 21.91 20.35 20.35 0
1 1 256 100 32 1 2.92 1.25 1.25 0
1 1 256 100 32 16 3.02 1.49 1.49 0
1 1 256 100 32 64 6.43 4.71 4.71 0
1 1 256 100 32 128 10.86 9.13 9.13 0
1 1 256 100 32 256 21.92 20.27 20.27 0
1 1 256 100 32 512 42.2 40.38 40.38 0
1 1 256 100 64 1 3.11 1.32 1.32 0
1 1 256 100 64 16 4.47 2.68 2.68 0
1 1 256 100 64 64 11.07 9.23 9.23 0
1 1 256 100 64 128 19.55 17.87 17.87 0
1 1 256 100 64 256 41.99 40.27 40.27 0
1 1 256 100 64 512 82.24 80.43 80.43 0
1 1 256 100 128 1 2.88 1.41 1.41 0
1 1 256 100 128 16 6.52 5 5 0
1 1 256 100 128 64 19.68 18.09 18.09 0
1 1 256 100 128 128 37.01 35.49 35.49 0
1 1 256 100 128 256 81.93 80.25 80.25 0
1 1 256 100 128 512 162.3 160.5 160.5 0
1 1 512 100 1 1 4.97 3.17 3.17 0
1 1 512 100 1 16 3.21 1.53 1.53 0
1 1 512 100 1 64 3.08 1.48 1.48 0
1 1 512 100 1 128 2.88 1.44 1.44 0
1 1 512 100 1 256 3.42 1.63 1.63 0
1 1 512 100 1 512 3.51 2.03 2.03 0
1 1 512 100 4 1 3.8 2.36 2.36 0
1 1 512 100 4 16 3.1 1.46 1.46 0
1 1 512 100 4 64 3.19 1.43 1.43 0
1 1 512 100 4 128 3.12 1.39 1.39 0
1 1 512 100 4 256 4.49 2.85 2.85 0
1 1 512 100 4 512 8.65 6.96 6.96 0
1 1 512 100 16 1 3.85 2.18 2.18 0
1 1 512 100 16 16 3.31 1.5 1.5 0
1 1 512 100 16 64 4 2.55 2.55 0
1 1 512 100 16 128 6.43 4.72 4.72 0
1 1 512 100 16 256 12 10.38 10.38 0
1 1 512 100 16 512 28.29 26.81 26.81 0
1 1 512 100 32 1 3.81 2.18 2.18 0
1 1 512 100 32 16 3.07 1.53 1.53 0
1 1 512 100 32 64 6.56 4.8 4.8 0
1 1 512 100 32 128 10.89 9.16 9.16 0
1 1 512 100 32 256 22.08 20.34 20.34 0
1 1 512 100 32 512 55.01 53.3 53.3 0
1 1 512 100 64 1 3.9 2.19 2.19 0
1 1 512 100 64 16 4.35 2.68 2.68 0
1 1 512 100 64 64 10.83 9.21 9.21 0
1 1 512 100 64 128 19.66 17.96 17.96 0
1 1 512 100 64 256 41.92 40.35 40.35 0
1 1 512 100 64 512 107.91 106.12 106.12 0
1 1 512 100 128 1 3.7 2.32 2.32 0
1 1 512 100 128 16 6.75 5 5 0
1 1 512 100 128 64 19.71 18.09 18.09 0
1 1 512 100 128 128 36.89 35.5 35.5 0
1 1 512 100 128 256 82.13 80.32 80.32 0
1 1 1024 100 1 1 7.77 5.98 5.98 0
1 1 1024 100 1 16 4.58 2.76 2.76 0
1 1 1024 100 1 64 4.45 2.62 2.62 0
1 1 1024 100 1 128 4.53 2.61 2.61 0
1 1 1024 100 1 256 4.7 2.86 2.86 0
1 1 1024 100 1 512 5.54 3.72 3.72 0
1 1 1024 100 4 1 6.19 4.4 4.4 0
1 1 1024 100 4 16 4.43 2.62 2.62 0
1 1 1024 100 4 64 4.36 2.57 2.57 0
1 1 1024 100 4 128 4.37 2.57 2.57 0
1 1 1024 100 4 256 4.68 2.88 2.88 0
1 1 1024 100 4 512 8.86 7 7 0
1 1 1024 100 16 1 5.84 4.03 4.03 0
1 1 1024 100 16 16 4.43 2.63 2.63 0
1 1 1024 100 16 64 4.41 2.58 2.58 0
1 1 1024 100 16 128 6.6 4.76 4.76 0
1 1 1024 100 16 256 12.22 10.37 10.37 0
1 1 1024 100 16 512 28.62 26.84 26.84 0
1 1 1024 100 32 1 5.7 3.96 3.96 0
1 1 1024 100 32 16 4.42 2.64 2.64 0
1 1 1024 100 32 64 6.39 4.79 4.79 0
1 1 1024 100 32 128 10.91 9.14 9.14 0
1 1 1024 100 32 256 21.72 20.34 20.34 0
1 1 1024 100 32 512 54.83 53.26 53.26 0
1 1 1024 100 64 1 5.64 3.98 3.98 0
1 1 1024 100 64 16 4.5 2.66 2.66 0
1 1 1024 100 64 64 10.96 9.23 9.23 0
1 1 1024 100 64 128 19.61 17.89 17.89 0
1 1 1024 100 64 256 42.15 40.39 40.39 0
1 1 1024 100 64 512 107.88 106.15 106.15 0
1 1 1024 100 128 1 5.76 4.09 4.09 0
1 1 1024 100 128 16 6.62 5.02 5.02 0
1 1 1024 100 128 64 19.82 18.12 18.12 0
1 1 1024 100 128 128 37.31 35.53 35.53 0
1 1 1024 100 128 256 82.07 80.35 80.35 0
1 1 4096 100 1 1 24.68 22.91 22.91 0
1 1 4096 100 1 16 11.71 9.98 9.98 0
1 1 4096 100 1 64 11.13 9.42 9.42 0
1 1 4096 100 1 128 11.14 9.31 9.31 0
1 1 4096 100 1 256 12.02 10.33 10.33 0
1 1 4096 100 1 512 15.57 13.8 13.8 0
1 1 4096 100 4 1 18.27 16.51 16.51 0
1 1 4096 100 4 16 11.23 9.46 9.46 0
1 1 4096 100 4 64 10.91 9.19 9.19 0
1 1 4096 100 4 128 10.96 9.13 9.13 0
1 1 4096 100 4 256 12.26 10.4 10.4 0
